TamanoMatriz;Procesos;Tiempo
2551;12;0.114019
2651;8;0.094735
2651;10;0.093026
2651;6;0.123286
2551;18;0.082993
2551;16;0.086852
2601;12;0.110619
2601;14;0.096614
2701;8;0.095930
2701;10;0.095671
2601;18;0.083601
2601;16;0.087198
2701;6;0.123520
2651;14;0.096065
2651;12;0.115449
1301;20;0.063212
2651;18;0.084011
2751;8;0.097284
2751;10;0.096295
2751;6;0.125787
1351;20;0.061868
2651;16;0.088627
4501;4;0.331842
1401;20;0.062205
2701;14;0.097661
2701;12;0.116765
2801;6;0.117086
2701;18;0.085291
2801;8;0.099320
1451;20;0.063425
2801;10;0.096921
2701;16;0.089790
2751;14;0.099742
1501;20;0.063484
2751;12;0.113702
2851;6;0.118057
2751;18;0.087423
1551;20;0.069799
2851;10;0.096722
2851;8;0.100025
2751;16;0.091326
2801;14;0.101756
2801;12;0.112383
1601;20;0.066244
4551;4;0.324675
2901;6;0.109483
2801;18;0.088274
2901;10;0.100596
2901;8;0.103251
1651;20;0.066388
2801;16;0.092229
2851;14;0.104118
2851;12;0.105520
1701;20;0.067467
2951;6;0.136809
2851;18;0.089613
2951;10;0.102975
2951;8;0.105199
2851;16;0.094748
1751;20;0.068296
2901;14;0.104546
2901;12;0.124393
1801;20;0.069417
3001;6;0.121527
2901;18;0.091681
3001;10;0.103555
3001;8;0.103787
4601;4;0.335766
2901;16;0.094824
1851;20;0.070077
2951;14;0.106321
2951;12;0.113999
1901;20;0.071524
3051;6;0.142537
2951;18;0.093098
3051;10;0.104377
3051;8;0.107234
2951;16;0.096659
1951;20;0.072151
3001;14;0.107150
3001;12;0.126132
2001;20;0.073098
3101;6;0.142357
3001;18;0.093407
3101;10;0.105997
3101;8;0.108277
3001;16;0.098695
4651;4;0.331072
3051;14;0.109816
2051;20;0.074427
3051;12;0.129342
3151;6;0.143208
3051;18;0.095050
3151;10;0.109433
3151;8;0.110900
2101;20;0.075585
3051;16;0.099173
3101;14;0.110977
3101;12;0.130377
2151;20;0.076215
3201;6;0.146901
3101;18;0.096229
3201;10;0.110766
3201;8;0.112662
3101;16;0.100371
2201;20;0.077422
3151;14;0.111971
3151;12;0.134981
4701;4;0.347762
2251;20;0.078229
3251;6;0.140497
3151;18;0.097784
3251;8;0.114223
3151;16;0.102937
3201;14;0.114878
3201;12;0.131046
2301;20;0.079109
3301;6;0.152480
3201;18;0.099215
3301;10;0.114610
3301;8;0.116679
3201;16;0.103447
2351;20;0.080766
3251;14;0.116840
3251;12;0.133581
2401;20;0.082850
4751;4;0.363403
3351;6;0.140401
3351;10;0.117093
3251;18;0.100603
3351;8;0.116680
3251;16;0.104442
3301;14;0.117293
3301;12;0.142511
2451;20;0.083114
3401;6;0.137202
3301;16;0.109158
3301;18;0.101847
3401;10;0.117614
3401;8;0.119120
3351;14;0.118570
3351;12;0.124111
2501;20;0.083879
4801;4;0.351548
3351;18;0.103697
3451;10;0.118972
3451;8;0.121685
3351;16;0.107905
3451;6;0.159368
2551;20;0.086106
3401;14;0.122541
3401;12;0.135660
2601;20;0.087004
3501;10;0.121248
3401;18;0.109225
3501;6;0.144338

3501;8;0.124499
3451;14;0.124382
3451;12;0.147768
2651;20;0.086936
4851;4;0.364507
3451;18;0.105687
3551;10;0.123738
3451;16;0.112548
3551;8;0.126719
3551;6;0.137868
2701;20;0.089721
3501;14;0.124456
3501;12;0.133199
2751;20;0.090402
3501;18;0.107042
3601;10;0.126254
3501;16;0.112514
3601;8;0.127555
3601;6;0.171013
3551;14;0.126226
3551;12;0.152321
2801;20;0.093049
4901;4;0.375123
3551;18;0.107565
3651;10;0.127019
3551;16;0.114337
3651;8;0.129282
3651;6;0.151422
2851;20;0.093795
3601;14;0.128323
3601;12;0.130478
2901;20;0.093666
3601;18;0.110924
3701;10;0.127890
3601;16;0.117562
3701;8;0.132141
3701;6;0.144550
3651;14;0.129497
3651;12;0.152959
2951;20;0.094642
4951;4;0.371220
3651;18;0.112263
3751;10;0.129857
3651;16;0.117238
3751;8;0.134282
3751;6;0.175727
3701;14;0.130400
3001;20;0.095367
3701;12;0.154051
3701;18;0.115025
3051;20;0.097494
3801;10;0.132370
3701;16;0.119124
3801;8;0.136539
3801;6;0.159283
3751;14;0.132689
3751;12;0.136484
5001;4;0.371650
3101;20;0.098147
3751;18;0.118066
3851;10;0.135340
3751;16;0.124060
3851;8;0.139127
3851;6;0.152970
3801;14;0.136465
3801;12;0.158474
3151;20;0.100657
3801;18;0.120523
3901;10;0.137070
3801;16;0.122117
3901;8;0.141271
3901;6;0.159932
3851;14;0.139739
3201;20;0.102359
3851;12;0.153857
3851;18;0.123796
3251;20;0.103031
3851;16;0.123374
3901;14;0.143146
3951;10;0.139383
3951;8;0.144452
3951;6;0.181274
3901;12;0.152748
3301;20;0.104631
3901;18;0.124033
1301;22;0.075473
3951;14;0.142698
4001;10;0.141440
4001;8;0.146745
4001;6;0.170305
1351;22;0.061454
3951;12;0.172227
3351;20;0.108620
1401;22;0.061943
1451;22;0.068506
3951;18;0.127790
1501;22;0.076244
4001;14;0.144263
4051;10;0.144782
3951;16;0.126986
4051;8;0.148425
4051;6;0.185483
1551;22;0.069973
4001;12;0.152328
1601;22;0.077801
4001;18;0.128586
1651;22;0.086526
3451;20;0.109857
4051;14;0.146526
4101;10;0.145473
4001;16;0.129746
1701;22;0.068692
4101;8;0.150243
4101;6;0.188868
4051;12;0.157334
1751;22;0.081558
3501;20;0.112234
1801;22;0.082999
4051;18;0.134315
4101;14;0.147962
4151;10;0.147878
1851;22;0.075077
4051;16;0.137013
4151;6;0.194204
4151;8;0.153352
4101;12;0.161520
1901;22;0.083047
3551;20;0.112591
1951;22;0.081559
4101;18;0.134269
4151;14;0.150076
4101;16;0.134968
4201;10;0.149733
2001;22;0.074568
4201;8;0.157645
4201;6;0.172244
3601;20;0.114409
4151;12;0.174870
2051;22;0.088513
4251;10;0.153054
4251;8;0.157297
4251;6;0.204643
4151;18;0.139161
2101;22;0.087584
3651;20;0.120066
4201;14;0.152932
4151;16;0.138300
2151;22;0.083999
4201;12;0.181893
