TamanoMatriz;Procesos;Tiempo
8500;14;0.205504
11900;10;0.381065
8300;20;0.179657
11900;12;0.366247
8500;16;0.264544
8500;18;0.195272
8700;14;0.209525
8500;20;0.189485
12100;10;0.382359
8700;16;0.280177
8700;18;0.202537
8900;14;0.214091
8700;20;0.198897
12100;12;0.380880
8900;16;0.267241
100;32;0.048418
100;28;0.039724
100;30;0.017512
100;22;0.017966
100;24;0.029063
100;26;0.073100
300;32;0.025774
8900;18;0.223462
9100;14;0.223452
500;32;0.031833
300;30;0.022460
300;28;0.023691
300;22;0.026573
300;24;0.028840
300;26;0.072420
500;22;0.032545
700;32;0.030892
8900;20;0.216699
500;30;0.031672
500;28;0.043793
900;32;0.030773
500;24;0.031588
500;26;0.074075
700;22;0.032840
1100;32;0.054154
700;30;0.030537
700;26;0.116522
700;28;0.031576
700;24;0.031032
900;22;0.052298
900;26;0.071159
1300;32;0.054888
900;30;0.030386
900;28;0.031295
1100;30;0.051528
1500;32;0.055903
900;24;0.053776
12300;10;0.394603
1100;26;0.101784
1100;22;0.052758
1700;32;0.057551
1100;28;0.052011
1300;30;0.053728
1300;28;0.054133
1900;32;0.058729
1100;24;0.052212
1300;26;0.105980
1300;22;0.080360
1500;30;0.053607
1500;28;0.055319
1300;24;0.069372
2100;32;0.059728
1500;26;0.095285
1500;22;0.054082
1700;30;0.052429
9100;16;0.349757
1700;28;0.055474
1500;24;0.053745
2300;32;0.061679
1900;30;0.052635
1700;22;0.055260
1700;26;0.103009
9100;18;0.232426
9300;14;0.229776
1700;24;0.055745
1900;28;0.055847
2100;30;0.052064
12300;12;0.388703
1900;26;0.151541
2500;32;0.063920
1900;22;0.054237
1900;24;0.055363
2100;28;0.055814
9100;20;0.226536
2300;30;0.052616
2100;26;0.104713
2100;22;0.055854
2700;32;0.065319
2300;28;0.057623
2100;24;0.055152
2300;26;0.107008
2500;30;0.053422
2500;28;0.057028
2300;22;0.075792
2300;24;0.057632
2900;32;0.067460
2500;26;0.107880
2700;30;0.053794
2700;28;0.057889
2500;22;0.064292
2500;24;0.055232
3100;32;0.068597
2700;26;0.120421
2900;30;0.055170
2900;28;0.057923
2700;22;0.069193
2700;24;0.057578
3300;32;0.071855
2900;26;0.125554
3100;30;0.058390
3100;28;0.057691
9300;16;0.344381
2900;24;0.058259
3500;32;0.072781
2900;22;0.057197
3100;26;0.123705
9500;14;0.240122
9300;18;0.245051
3300;30;0.062554
3300;28;0.062248
3100;24;0.058072
3100;22;0.056669
3700;32;0.074278
9300;20;0.238004
3300;26;0.111866
3500;30;0.065665
3500;28;0.062938
12500;10;0.404441
3300;24;0.063995
3300;22;0.057597
3900;32;0.075390
3500;26;0.121109
3700;30;0.064726
3700;28;0.065329
3500;24;0.061297
3500;22;0.060415
4100;32;0.074160
3700;26;0.113606
3900;30;0.068027
3900;28;0.068043
12500;12;0.402431
3700;24;0.086653
3700;22;0.059863
4100;30;0.070661
4300;32;0.078278
3900;26;0.114605
9500;16;0.272745
4100;28;0.069615
9700;14;0.249813
9500;18;0.254862
9500;20;0.229324
3900;24;0.066557
3900;22;0.062848
4500;32;0.078996
4100;26;0.145647
4300;30;0.076169
4300;28;0.071493
4100;24;0.072926
4100;22;0.068176
4700;32;0.079690
4500;30;0.080169
4500;28;0.078404
4300;26;0.115876
4300;24;0.073695
4900;32;0.082544
4700;28;0.079590
4700;30;0.081638
12700;10;0.415182
4500;26;0.123522
4300;22;0.069273
9700;16;0.306388
9700;18;0.242139
9900;14;0.260542
4500;24;0.077071
9700;20;0.237899
5100;32;0.086650
4900;30;0.085856
4900;28;0.085165
4500;22;0.075240
4700;26;0.148442
12700;12;0.415172
4700;24;0.079859
5300;32;0.089193
5100;30;0.090674
5100;28;0.087897
4900;26;0.130530
4700;22;0.074441
4900;24;0.084137
9900;16;0.277975
5500;32;0.093341
5300;30;0.094576
5300;28;0.089258
10100;14;0.265775
9900;18;0.248542
4900;22;0.079202
5100;26;0.209709
9900;20;0.244720
5100;24;0.088832
5700;32;0.097258
5500;30;0.095527
5500;28;0.092372
12900;10;0.428308
5100;22;0.084849
5300;26;0.135242
5700;30;0.100479
5900;32;0.101965
5700;28;0.097079
5300;24;0.094037
12900;12;0.427629
10100;16;0.352424
10100;18;0.261501
10300;14;0.274695
