TamanoMatriz;Procesos;Tiempo
10900;44;0.766302
10900;46;0.765502
16500;30;1.758367
14700;42;1.525732
10900;48;0.766203
10900;50;0.761934
17700;22;2.002052
18500;2;3.143842
18300;10;2.186309
18100;16;2.112445
16900;28;1.825404
18500;4;2.494920
11100;44;0.793331
11100;46;0.792791
11100;48;0.794051
11100;50;0.787795
18300;12;2.175917
18500;6;2.370571
17900;18;2.050014
17300;24;1.945132
16900;34;1.836144
17100;26;1.969832
18500;8;2.234671
17900;20;2.059028
15100;38;1.523513
11300;44;0.821385
11300;46;0.822854
14900;36;1.431622
11300;50;0.814646
11300;48;0.821532
18300;14;2.178204
14500;40;1.832407
18700;2;3.212167
17900;22;2.051168
16700;32;1.818521
18500;10;2.237933
17100;28;1.866554
16700;30;1.811430
18300;16;2.166116
14900;42;1.553491
18700;4;2.552074
11500;44;0.849358
11500;46;0.846896
11500;50;0.844487
11500;48;0.855396
18500;12;2.227267
18700;6;2.413778
17500;24;1.968043
18100;18;2.099432
17100;34;1.887122
17300;26;1.999861
11700;44;0.876199
18100;20;2.103199
18700;8;2.321750
11700;46;0.878462
11700;48;0.873495
11700;50;0.869939
18500;14;2.207197
18900;2;3.276750
18100;22;2.095831
17300;28;1.911676
18700;10;2.290742
18500;16;2.205207
15300;38;1.562048
14700;40;1.888443
15100;36;1.466816
18900;4;2.616046
11900;44;0.910311
16900;32;1.844345
11900;46;0.908561
11900;48;0.908433
11900;50;0.901619
18700;12;2.272741
18900;6;2.465532
15100;42;1.588909
17700;24;2.022818
18300;18;2.142407
16900;30;1.849441
17300;34;1.931799
17500;26;2.052355
12100;44;0.938662
18900;8;2.376131
18300;20;2.143633
12100;46;0.939521
12100;48;0.937346
12100;50;0.930419
18700;14;2.270002
19100;2;3.346692
18300;22;2.134577
17500;28;1.964695
18900;10;2.342442
18700;16;2.251558
19100;4;2.638661
12300;44;0.972048
12300;46;0.968408
12300;48;0.970218
12300;50;0.960925
18900;12;2.319876
17100;32;1.898021
15500;38;1.663614
19100;6;2.514680
17900;24;2.065513
15300;36;1.514081
14900;40;1.935944
17500;34;1.975151
18500;18;2.194714
17700;26;2.105913
15300;42;1.644591
19100;8;2.417475
18500;20;2.199705
12500;44;1.003609
12500;46;0.998810
17100;30;1.900785
18900;14;2.322928
19300;2;3.409726
12500;48;1.000495
12500;50;0.991190
18500;22;2.187245
17700;28;1.999721
19100;10;2.384656
18900;16;2.308469
19300;4;2.695244
12700;44;1.031843
12700;46;1.033690
19100;12;2.367697
12700;48;1.030807
18100;24;2.094777
19300;6;2.569908
12700;50;1.025734
17700;34;2.012969
18700;18;2.241418
17300;32;1.950082
15700;38;1.633432
17900;26;2.150643
19300;8;2.461463
18700;20;2.243557
15500;36;1.556370
19500;2;3.481538
15100;40;2.039572
19100;14;2.357748
12900;44;1.066575
12900;46;1.065634
17900;28;2.045640
18700;22;2.231769
15500;42;1.654654
12900;48;1.069227
12900;50;1.056808
19300;10;2.430113
17300;30;1.942378
19500;4;2.754045
19100;16;2.356972
19300;12;2.418470
18300;24;2.149523
19500;6;2.612942
13100;44;1.099447
13100;46;1.096126
17900;34;2.061756
18900;18;2.285499
13100;48;1.097127
13100;50;1.089925
18100;26;2.205687
17500;32;1.989783
19500;8;2.517083
18900;20;2.288604
19700;2;3.559923
15900;38;1.710490
18100;28;2.092921
19300;14;2.400518
18900;22;2.289168
13300;44;1.137892
19500;10;2.471460
13300;46;1.127517
19700;4;2.805517
13300;48;1.129330
19300;16;2.388837
17500;30;1.993398
13300;50;1.131891
15700;36;1.592114
15300;40;2.035351
15700;42;1.738807
18500;24;2.194637
19500;12;2.457422
19700;6;2.674328
18100;34;2.101938
19100;18;2.329969
13500;44;1.181772
18300;26;2.239491
13500;46;1.165820
13500;48;1.161596
19700;8;2.572843
17700;32;2.029693
19100;20;2.329639
13500;50;1.177522
19900;2;3.627292
18300;28;2.138916
19500;14;2.462030
19100;22;2.325144
19700;10;2.531360
19900;4;2.872347
16100;38;1.705745
13700;44;1.202483
19500;16;2.449452
13700;46;1.197836
13700;48;1.198237
18700;24;2.237516
13700;50;1.193956
19700;12;2.511167
19900;6;2.683713
18300;34;2.149092
15900;36;1.634761
15900;42;1.714953
19300;18;2.376223
15500;40;2.081030
17700;30;2.033390
18500;26;2.294336
19900;8;2.623179
13900;44;1.232217
19300;20;2.386892
20100;2;3.711202
18500;28;2.177925
13900;46;1.231529
19700;14;2.503938
13900;48;1.231129
17900;32;2.070560
19300;22;2.363892
13900;50;1.228388
19900;10;2.574023
20100;4;2.937748
19700;16;2.496986
16300;38;1.762375
18900;24;2.283963
14100;44;1.268749
19900;12;2.561760
20100;6;2.810000
18500;34;2.195532
14100;46;1.268952
14100;48;1.268327
19500;18;2.414605
18700;26;2.343308
14100;50;1.265967
17900;30;2.071953
20100;8;2.676571
15700;40;2.148621
10900;52;0.765973
10900;54;0.764119
19500;20;2.432947
18700;28;2.233585
16100;36;1.675647
16100;42;1.780193
19900;14;2.565039
19500;22;2.415545
14300;44;1.304577
18100;32;2.129223
20100;10;2.628839
14300;46;1.296622
11100;52;0.793163
11100;54;0.789917
14300;48;1.299652
19900;16;2.546087
14300;50;1.295699
19100;24;2.341064
20100;12;2.616741
18700;34;2.240663
16500;38;1.837003
19700;18;2.479455
11300;52;0.819779
11300;54;0.819377
18900;26;2.398602
14500;44;1.340543
14500;46;1.340315
18100;30;2.125779
18900;28;2.278075
19700;20;2.485652
14500;48;1.338562
14500;50;1.333654
20100;14;2.616112
19700;22;2.473877
11500;52;0.846396
11500;54;0.850193
15900;40;2.190132
18300;32;2.175645
16300;42;1.823140
20100;16;2.590239
16300;36;1.716236
10900;56;0.766494
10900;58;0.768989
14700;44;1.378514
19300;24;2.385885
14700;46;1.376572
11700;52;0.870963
18900;34;2.291162
11700;54;0.874443
14700;48;1.374467
14700;50;1.368913
19900;18;2.527317
19100;26;2.428089
11100;56;0.795074
11100;58;0.797280
19100;28;2.323439
18300;30;2.163789
16700;38;1.849012
19900;20;2.530209
11900;52;0.906056
11900;54;0.907628
14900;44;1.416715
14900;46;1.410736
19900;22;2.522579
11300;56;0.821719
11300;58;0.827198
18500;32;2.215352
14900;48;1.410253
14900;50;1.410463
19500;24;2.425025
12100;52;0.935259
12100;54;0.939644
16100;40;2.239508
19100;34;2.338206
16500;42;1.886303
11500;56;0.845517
11500;58;0.851928
20100;18;2.581941
15100;44;1.446459
19300;26;2.483330
16500;36;1.754800
15100;46;1.447005
19300;28;2.369710
12300;52;0.965206
15100;48;1.446543
12300;54;0.969646
20100;20;2.585530
18500;30;2.217395
15100;50;1.444132
11700;56;0.876596
11700;58;0.876878
20100;22;2.565055
16900;38;1.924277
12500;52;0.996498
15300;44;1.493270
18700;32;2.261972
12500;54;1.001541
19700;24;2.476287
15300;46;1.494399
11900;56;0.909831
19300;34;2.384702
11900;58;0.913655
15300;48;1.484792
15300;50;1.481587
19500;26;2.547805
12700;52;1.026957
19500;28;2.432594
12700;54;1.031320
16300;40;2.378235
16700;42;1.889218
10900;62;0.766414
10900;60;0.766740
12100;56;0.942084
12100;58;0.954861
15500;44;1.537834
15500;46;1.524335
16700;36;1.795354
18700;30;2.258906
15500;48;1.528157
12900;52;1.061638
11100;62;0.794200
11100;60;0.792087
15500;50;1.520465
12900;54;1.062685
19900;24;2.527021
17100;38;1.934985
12300;56;0.968241
18900;32;2.319162
12300;58;0.981610
19500;34;2.423834
15700;44;1.561993
11300;60;0.819972
11300;62;0.820803
19700;26;2.588544
19700;28;2.488425
13100;52;1.094201
15700;46;1.569471
13100;54;1.095775
12500;56;1.002039
15700;48;1.565944
12500;58;1.014724
15700;50;1.556065
16900;42;2.015940
11500;60;0.851594
11500;62;0.849274
16500;40;2.350135
18900;30;2.309949
13300;52;1.125688
20100;24;2.590643
12700;56;1.036244
15900;44;1.610366
13300;54;1.133156
12700;58;1.044840
16900;36;1.835835
15900;46;1.602901
19700;34;2.482746
19100;32;2.365201
11700;60;0.879024
11700;62;0.874404
15900;48;1.602795
17300;38;2.035275
19900;26;2.635951
15900;50;1.597723
19900;28;2.509767
13500;52;1.160969
12900;56;1.069138
13500;54;1.163769
12900;58;1.078741
11900;60;0.907289
11900;62;0.906391
16100;44;1.648381
16100;46;1.645799
17100;42;2.029533
16100;48;1.644198
13700;52;1.193814
19100;30;2.358707
13100;56;1.099063
13100;58;1.105655
13700;54;1.198212
16100;50;1.640094
12100;60;0.935450
16700;40;2.407980
12100;62;0.939968
19900;34;2.522065
10900;64;0.860647
19300;32;2.421160
20100;26;2.686678
20100;28;2.571020
17100;36;1.882278
16300;44;1.683179
13900;52;1.229637
13300;56;1.133991
17500;38;2.029998
11100;64;0.886139
16300;46;1.686131
12300;60;0.970881
13300;58;1.134541
12300;62;0.975208
13900;54;1.241514
16300;48;1.686030
16300;50;1.677888
11300;64;0.909594
12500;60;0.999400
13500;56;1.165287
12500;62;1.001399
14100;52;1.264547
13500;58;1.170014
20100;34;2.577908
16500;44;1.724810
14100;54;1.268467
17300;42;2.024871
19300;30;2.412829
16500;46;1.726998
16900;40;1.954406
19500;32;2.445237
16500;48;1.718408
11500;64;0.968796
12700;60;1.029736
16500;50;1.720756
12700;62;1.033210
13700;56;1.195844
14300;52;1.296446
13700;58;1.208581
17300;36;1.928614
14300;54;1.299744
17700;38;2.101716
16700;44;1.768081
11700;64;0.961429
16700;46;1.761263
12900;60;1.063247
12900;62;1.065636
13900;56;1.237523
16700;48;1.762494
14500;52;1.332245
17500;42;2.069974
13900;58;1.240099
19500;30;2.453756
16700;50;1.763674
17100;40;2.611945
14500;54;1.338380
19700;32;2.509916
11900;64;0.997269
13100;60;1.097499
13100;62;1.098585
16900;44;1.799220
14100;56;1.270310
16900;46;1.805691
14700;52;1.375242
14100;58;1.285133
16900;48;1.800935
14700;54;1.375786
17900;38;2.104531
12100;64;1.024087
13300;60;1.127082
16900;50;1.796022
17500;36;1.977308
17700;42;2.113872
13300;62;1.134891
17300;40;2.852361
14300;56;1.281396
17100;44;1.852982
14300;58;1.308303
14900;52;1.410603
12300;64;1.050449
17100;46;1.852872
14900;54;1.409662
19700;30;2.502448
13500;60;1.165571
19900;32;2.571310
13500;62;1.166033
17100;48;1.854883
17100;50;1.844080
14500;56;1.343679
12500;64;1.096456
14500;58;1.363422
15100;52;1.447705
17500;40;2.953441
17900;42;2.146244
17300;44;1.898290
13700;60;1.202201
15100;54;1.451743
13700;62;1.201772
17300;46;1.896171
18100;38;2.137768
12700;64;1.125397
17700;36;2.104069
17300;48;1.901721
14700;56;1.377256
14700;58;1.397005
17300;50;1.877698
15300;52;1.485179
19900;30;2.566198
20100;32;2.624532
13900;60;1.232843
15300;54;1.487900
13900;62;1.236474
17700;40;2.022986
17500;44;1.937542
12900;64;1.165914
18100;42;2.173850
17500;46;1.941611
14900;56;1.416285
14900;58;1.419416
17500;48;1.939033
14100;60;1.270758
15500;52;1.527263
14100;62;1.270238
17500;50;1.922457
15500;54;1.532214
13100;64;1.193177
20100;30;2.556173
17700;44;1.980663
18300;38;2.195563
17900;40;2.059033
15100;56;1.452848
17900;36;2.067003
15100;58;1.463972
14300;60;1.303582
18300;42;2.217213
17700;46;1.981884
15700;52;1.560349
14300;62;1.307475
17700;48;1.989477
15700;54;1.566971
13300;64;1.278058
17700;50;1.971600
15300;56;1.492052
14500;60;1.340668
17900;44;2.029351
15300;58;1.511849
18100;40;2.106985
15900;52;1.602007
14500;62;1.397690
17900;46;2.025802
18500;42;2.256420
13500;64;1.262441
15900;54;1.606259
17900;48;2.028039
15500;56;1.531770
14700;60;1.376429
17900;50;2.015139
18500;38;2.243341
15500;58;1.546923
18100;36;2.237080
14700;62;1.379597
16100;52;1.640381
13700;64;1.275938
18100;44;2.072724
18300;40;2.147006
16100;54;1.650184
18100;46;2.071220
18700;42;2.310367
14900;60;1.422930
15700;56;1.570691
18100;48;2.067471
13900;64;1.312154
15700;58;1.590337
14900;62;1.420603
18100;50;2.058240
16300;52;1.681855
18300;44;2.120383
16300;54;1.685609
18500;40;2.200390
14100;64;1.347968
18300;46;2.118986
15100;60;1.448846
15900;56;1.605838
18700;38;2.300884
15100;62;1.455217
15900;58;1.632142
18900;42;2.382964
18300;48;2.112951
16500;52;1.721100
18300;36;2.192882
18300;50;2.104920
16500;54;1.730092
14300;64;1.383899
18500;44;2.170433
15300;60;1.488731
16100;56;1.653979
18500;46;2.154701
15300;62;1.498027
18700;40;2.258621
16100;58;1.666002
16700;52;1.763007
19100;42;2.413915
18500;48;2.164206
14500;64;1.427792
16700;54;1.764090
15500;60;1.530522
18500;50;2.152084
16300;56;1.690705
18900;38;2.341140
18700;44;2.213334
15500;62;1.537193
16300;58;1.707810
18700;46;2.200997
16900;52;1.805148
14700;64;1.464672
18900;40;2.292668
18500;36;2.203082
19300;42;2.435077
18700;48;2.217367
16900;54;1.806279
15700;60;1.569198
16500;56;1.735443
18700;50;2.202004
15700;62;1.619811
16500;58;1.734169
18900;44;2.256007
14900;64;1.504488
17100;52;1.845232
18900;46;2.265274
15900;60;1.606009
19100;40;2.333661
17100;54;1.854129
19500;42;2.475347
18900;48;2.262894
19100;38;2.382227
16700;56;1.773907
15900;62;1.610536
18900;50;2.248720
16700;58;1.776786
15100;64;1.538267
19100;44;2.309790
17300;52;1.890408
18700;36;2.255045
16100;60;1.648177
19100;46;2.302767
17300;54;1.900668
19300;40;2.387708
16100;62;1.653071
16900;56;1.806876
19700;42;2.554543
19100;48;2.303988
15300;64;1.569042
16900;58;1.821334
19100;50;2.289622
17500;52;1.926656
16300;60;1.689580
19300;44;2.352157
19300;38;2.438028
17500;54;1.941635
19300;46;2.345827
16300;62;1.692973
15500;64;1.608294
17100;56;1.857588
19500;40;2.435221
19900;42;2.682565
17100;58;1.872096
19300;48;2.348201
18900;36;2.301503
17700;52;1.973103
16500;60;1.729970
19300;50;2.343334
15700;64;1.644475
19500;44;2.390640
17700;54;1.988259
16500;62;1.738864
17300;56;1.899156
19500;46;2.384528
17300;58;1.904058
20100;42;2.661079
19700;40;2.457932
19500;48;2.391655
16700;60;1.766061
17900;52;2.021104
19500;38;2.462693
15900;64;1.685054
19500;50;2.382433
16700;62;1.779445
17900;54;2.029084
19700;44;2.451839
17500;56;1.945544
19100;36;2.342786
19700;46;2.447458
17500;58;1.947809
16900;60;1.811085
16100;64;1.717502
18100;52;2.068531
19900;40;2.508070
19700;48;2.438157
16900;62;1.807179
18100;54;2.072042
19700;50;2.442655
17700;56;1.990121
19900;44;2.497568
